Title,Body (HTML),Price,Image Src,Published
"Choker ""Dream Catcher""","Protect your dreams and add a mystical accent to your look with the ""Dream Catcher"" choker. This unique accessory is crafted from a wide strip of deep brown genuine leather.",35,https://example.com/lovable-uploads/496509400_743942131472387_8262938680518641557_n.jpg,TRUE
"Choker ""Double Confession""","Express your feelings with the ""Double Confession"" choker! This delicate and stylish accessory consists of two thin straps.",35,https://example.com/lovable-uploads/494361586_1116622167153556_2158416052284255224_n.jpg,TRUE
"Choker ""Echo of Ages""","Feel the breath of history with the ""Echo of Ages"" choker. This unique piece is handcrafted from natural leather and antique coins.",45,https://example.com/lovable-uploads/monet.jpg,TRUE
"Choker ""Constellation of Fate""","Choker ""Constellation of Fate"" - an elegant accessory with astral motifs.",40,https://example.com/lovable-uploads/choker6.jpg,TRUE
"Choker ""Eternal Flame""","Choker ""Eternal Flame"" - a symbol of unquenchable passion and energy.",45,https://example.com/lovable-uploads/choker7.jpg,TRUE
"Choker ""Dance of Butterflies""","Choker ""Dance of Butterflies"" - a light and graceful accessory with a romantic mood.",35,https://example.com/lovable-uploads/choker8.jpg,TRUE
"Choker ""Heart of Time""","Choker ""Heart of Time"" - a stylish accessory with a modern design.",40,https://example.com/lovable-uploads/choker9.jpg,TRUE
"Choker ""Ocean Wave""","Choker ""Ocean Wave"" - oceanic style in every movement.",35,https://example.com/lovable-uploads/choker10.jpg,TRUE
"Choker ""Stellar Path""","Choker ""Stellar Path"" - cosmic style for those who dream of stellar journeys.",45,https://example.com/lovable-uploads/choker11.jpg,TRUE
"Choker ""Moonlight""","Choker ""Moonlight"" - a romantic accessory for evening walks.",35,https://example.com/lovable-uploads/choker12.jpg,TRUE
"Earrings ""Gummy Bear""","Immerse yourself in a world of carefree joy with our ""Gummy Bear"" earrings!",15,https://example.com/lovable-uploads/datv1.jpg,TRUE
"Earrings ""Moon Glow""","Earrings ""Moon Glow"" - an elegant accent for your look.",20,https://example.com/lovable-uploads/earrings3.jpg,TRUE
"Earrings ""Solar Diamond""","Earrings ""Solar Diamond"" - a bright accent for your look.",25,https://example.com/lovable-uploads/earrings4.jpg,TRUE
"Earrings ""Sunlight""","Earrings ""Sunlight"" - a bright accent for your look.",15,https://example.com/lovable-uploads/earrings1.jpg,TRUE
"Earrings ""Crescent Moon""","Delicate and sophisticated earrings inspired by the magic of the night sky.",15,https://example.com/lovable-uploads/earrings2.jpg,TRUE
"Necklace ""Elegant Glow""","Necklace ""Elegant Glow"" - classic style with modern design.",50,https://example.com/lovable-uploads/necklace1.jpg,TRUE
"Necklace ""Eternal Sun""","Necklace ""Eternal Sun"" - a symbol of endless warmth and light.",55,https://example.com/lovable-uploads/necklace2.jpg,TRUE
"Necklace ""Mystic Stone""","Necklace ""Mystic Stone"" - a stylish accessory with a magical mood.",60,https://example.com/lovable-uploads/necklace3.jpg,TRUE
"Keychain ""Blade of Destiny""","Make a statement with the ""Blade of Destiny"" keychain!",10,https://example.com/lovable-uploads/5325977326892216759.jpg,TRUE
"Bracelet ""Forest Pixel""","Meet ""Forest Pixel"" - a bracelet where digital precision meets organic beauty.",35,https://example.com/lovable-uploads/5325977326892216761.jpg,TRUE
"Bracelet ""Espresso Rhythm""","Bracelet ""Espresso Rhythm"" - a stylish accessory for those who appreciate elegance and comfort.",30,https://example.com/lovable-uploads/bracelet1.jpg,TRUE
"Bracelet ""Rock Skeleton""","Bracelet ""Rock Skeleton"" - a bold accessory for those who aren't afraid to stand out.",30,https://example.com/lovable-uploads/bracelet2.jpg,TRUE
"Bracelet ""Reggae""","Bracelet ""Reggae"" - a bright and cheerful accessory that reminds of the Caribbean sun.",30,https://example.com/lovable-uploads/bracelet3.jpg,TRUE
"Bracelet ""Defender's Cross""","Bracelet ""Defender's Cross"" - a symbol of faith and protection in a modern style.",30,https://example.com/lovable-uploads/bracelet4.jpg,TRUE
"Bracelet ""Rock Legend""","Bracelet ""Rock Legend"" - a stylish accessory for those who appreciate classic rock.",30,https://example.com/lovable-uploads/bracelet5.jpg,TRUE
